domain,method,n,applicable,solved
materials_problem,Jacobi,9,6,1
materials_problem,LU,9,1,1
materials_problem,SOR,9,6,2
materials_problem,splu (SuperLU),9,8,7
materials_problem,spsolve (SuperLU),9,9,7
model_reduction_problem,BiCGSTAB,13,13,5
model_reduction_problem,Cholesky,13,2,2
model_reduction_problem,Conjugate Gradient,13,3,3
model_reduction_problem,GMRES(30),13,13,4
model_reduction_problem,Gauss elimination,13,5,5
model_reduction_problem,Gauss-Jordan,13,5,5
model_reduction_problem,Gauss-Seidel,13,13,2
model_reduction_problem,ILU only,13,13,3
model_reduction_problem,ILU-BiCGSTAB,13,13,9
model_reduction_problem,ILU-GMRES(30),13,13,9
model_reduction_problem,ILU-Krylov (dispatched),13,13,9
model_reduction_problem,Jacobi,13,13,2
model_reduction_problem,LU,13,5,5
model_reduction_problem,SOR,13,13,3
model_reduction_problem,splu (SuperLU),13,13,10
model_reduction_problem,spsolve (SuperLU),13,13,10
optimal_control_problem,BiCGSTAB,78,77,11
optimal_control_problem,Cholesky,78,0,0
optimal_control_problem,Conjugate Gradient,78,6,6
optimal_control_problem,GMRES(30),78,77,7
optimal_control_problem,Gauss elimination,78,40,40
optimal_control_problem,Gauss-Jordan,78,40,29
optimal_control_problem,Gauss-Seidel,78,0,0
optimal_control_problem,ILU only,78,44,0
optimal_control_problem,ILU-BiCGSTAB,78,44,28
optimal_control_problem,ILU-GMRES(30),78,44,27
optimal_control_problem,ILU-Krylov (dispatched),78,44,28
optimal_control_problem,Jacobi,78,0,0
optimal_control_problem,LU,78,40,40
optimal_control_problem,SOR,78,0,0
optimal_control_problem,splu (SuperLU),78,77,77
optimal_control_problem,spsolve (SuperLU),78,77,77
optimization_problem,BiCGSTAB,39,39,2
optimization_problem,Cholesky,39,0,0
optimization_problem,Conjugate Gradient,39,0,0
optimization_problem,GMRES(30),39,39,1
optimization_problem,Gauss elimination,39,13,13
optimization_problem,Gauss-Jordan,39,13,13
optimization_problem,Gauss-Seidel,39,24,0
optimization_problem,ILU only,39,38,0
optimization_problem,ILU-BiCGSTAB,39,38,27
optimization_problem,ILU-GMRES(30),39,38,26
optimization_problem,ILU-Krylov (dispatched),39,38,27
optimization_problem,Jacobi,39,24,0
optimization_problem,LU,39,13,13
optimization_problem,SOR,39,24,0
optimization_problem,splu (SuperLU),39,38,38
optimization_problem,spsolve (SuperLU),39,39,38
power_network_problem,BiCGSTAB,17,17,5
power_network_problem,Cholesky,17,4,4
power_network_problem,Conjugate Gradient,17,4,4
power_network_problem,GMRES(30),17,17,1
power_network_problem,Gauss elimination,17,7,7
power_network_problem,Gauss-Jordan,17,7,7
power_network_problem,Gauss-Seidel,17,6,0
power_network_problem,ILU only,17,17,0
power_network_problem,ILU-BiCGSTAB,17,17,15
power_network_problem,ILU-GMRES(30),17,17,13
power_network_problem,ILU-Krylov (dispatched),17,17,15
power_network_problem,Jacobi,17,6,0
power_network_problem,LU,17,7,7
power_network_problem,SOR,17,6,0
power_network_problem,splu (SuperLU),17,17,17
power_network_problem,spsolve (SuperLU),17,17,17
random_matrices,BiCGSTAB,100,100,30
random_matrices,Cholesky,100,0,0
random_matrices,Conjugate Gradient,100,0,0
random_matrices,GMRES(30),100,100,27
random_matrices,Gauss elimination,100,100,100
random_matrices,Gauss-Jordan,100,100,100
random_matrices,Gauss-Seidel,100,100,0
random_matrices,ILU only,100,100,48
random_matrices,ILU-BiCGSTAB,100,100,100
random_matrices,ILU-GMRES(30),100,100,100
random_matrices,ILU-Krylov (dispatched),100,100,100
random_matrices,Jacobi,100,100,0
random_matrices,LU,100,100,100
random_matrices,SOR,100,100,0
random_matrices,splu (SuperLU),100,100,100
random_matrices,spsolve (SuperLU),100,100,100
robotics_problem,BiCGSTAB,1,1,0
robotics_problem,Cholesky,1,0,0
robotics_problem,Conjugate Gradient,1,0,0
robotics_problem,GMRES(30),1,1,0
robotics_problem,Gauss elimination,1,1,1
robotics_problem,Gauss-Jordan,1,1,1
robotics_problem,Gauss-Seidel,1,0,0
robotics_problem,ILU only,1,1,0
robotics_problem,ILU-BiCGSTAB,1,1,0
robotics_problem,ILU-GMRES(30),1,1,0
robotics_problem,ILU-Krylov (dispatched),1,1,0
robotics_problem,Jacobi,1,0,0
robotics_problem,LU,1,1,1
robotics_problem,SOR,1,0,0
robotics_problem,splu (SuperLU),1,1,1
robotics_problem,spsolve (SuperLU),1,1,1
semiconductor_device_problem,BiCGSTAB,4,4,4
semiconductor_device_problem,Cholesky,4,0,0
semiconductor_device_problem,Conjugate Gradient,4,0,0
semiconductor_device_problem,GMRES(30),4,4,4
semiconductor_device_problem,Gauss elimination,4,0,0
semiconductor_device_problem,Gauss-Jordan,4,0,0
semiconductor_device_problem,Gauss-Seidel,4,4,4
semiconductor_device_problem,ILU only,4,4,0
semiconductor_device_problem,ILU-BiCGSTAB,4,4,4
semiconductor_device_problem,ILU-GMRES(30),4,4,4
semiconductor_device_problem,ILU-Krylov (dispatched),4,4,4
semiconductor_device_problem,Jacobi,4,4,3
semiconductor_device_problem,LU,4,0,0
semiconductor_device_problem,SOR,4,4,4
semiconductor_device_problem,splu (SuperLU),4,4,4
semiconductor_device_problem,spsolve (SuperLU),4,4,4
statistical_mathematical_problem,BiCGSTAB,6,6,3
statistical_mathematical_problem,Cholesky,6,0,0
statistical_mathematical_problem,Conjugate Gradient,6,1,1
statistical_mathematical_problem,GMRES(30),6,6,4
statistical_mathematical_problem,Gauss elimination,6,4,4
statistical_mathematical_problem,Gauss-Jordan,6,4,4
statistical_mathematical_problem,Gauss-Seidel,6,3,1
statistical_mathematical_problem,ILU only,6,6,0
statistical_mathematical_problem,ILU-BiCGSTAB,6,6,4
statistical_mathematical_problem,ILU-GMRES(30),6,6,4
statistical_mathematical_problem,ILU-Krylov (dispatched),6,6,4
statistical_mathematical_problem,Jacobi,6,3,1
statistical_mathematical_problem,LU,6,4,4
statistical_mathematical_problem,SOR,6,3,1
statistical_mathematical_problem,splu (SuperLU),6,6,5
statistical_mathematical_problem,spsolve (SuperLU),6,6,5
structural_problem,BiCGSTAB,87,86,62
structural_problem,Cholesky,87,48,48
structural_problem,Conjugate Gradient,87,72,61
structural_problem,GMRES(30),87,86,39
structural_problem,Gauss elimination,87,56,56
structural_problem,Gauss-Jordan,87,56,56
structural_problem,Gauss-Seidel,87,82,44
structural_problem,ILU only,87,82,13
structural_problem,ILU-BiCGSTAB,87,82,72
structural_problem,ILU-GMRES(30),87,82,71
structural_problem,ILU-Krylov (dispatched),87,82,73
structural_problem,Jacobi,87,82,23
structural_problem,LU,87,56,56
structural_problem,SOR,87,82,46
structural_problem,splu (SuperLU),87,84,84
structural_problem,spsolve (SuperLU),87,86,84
theoretical_quantum_chemistry_problem,BiCGSTAB,31,27,27
theoretical_quantum_chemistry_problem,Cholesky,31,0,0
theoretical_quantum_chemistry_problem,Conjugate Gradient,31,0,0
theoretical_quantum_chemistry_problem,GMRES(30),31,27,27
theoretical_quantum_chemistry_problem,Gauss elimination,31,1,1
theoretical_quantum_chemistry_problem,Gauss-Jordan,31,1,1
theoretical_quantum_chemistry_problem,Gauss-Seidel,31,27,12
theoretical_quantum_chemistry_problem,ILU only,31,27,0
theoretical_quantum_chemistry_problem,ILU-BiCGSTAB,31,27,27
theoretical_quantum_chemistry_problem,ILU-GMRES(30),31,27,27
theoretical_quantum_chemistry_problem,ILU-Krylov (dispatched),31,27,27
theoretical_quantum_chemistry_problem,Jacobi,31,27,12
theoretical_quantum_chemistry_problem,LU,31,1,1
theoretical_quantum_chemistry_problem,SOR,31,27,12
theoretical_quantum_chemistry_problem,splu (SuperLU),31,27,27
theoretical_quantum_chemistry_problem,spsolve (SuperLU),31,27,27
thermal_problem,BiCGSTAB,2,2,2
thermal_problem,Cholesky,2,0,0
thermal_problem,Conjugate Gradient,2,0,0
thermal_problem,GMRES(30),2,2,1
thermal_problem,Gauss elimination,2,1,1
thermal_problem,Gauss-Jordan,2,1,1
thermal_problem,Gauss-Seidel,2,2,1
thermal_problem,ILU only,2,2,0
thermal_problem,ILU-BiCGSTAB,2,2,2
thermal_problem,ILU-GMRES(30),2,2,2
thermal_problem,ILU-Krylov (dispatched),2,2,2
thermal_problem,Jacobi,2,2,0
thermal_problem,LU,2,1,1
thermal_problem,SOR,2,2,1
thermal_problem,splu (SuperLU),2,2,2
thermal_problem,spsolve (SuperLU),2,2,2
undirected_weighted_graph,BiCGSTAB,37,34,12
undirected_weighted_graph,Cholesky,37,0,0
undirected_weighted_graph,Conjugate Gradient,37,0,0
undirected_weighted_graph,GMRES(30),37,34,1
undirected_weighted_graph,Gauss elimination,37,25,25
undirected_weighted_graph,Gauss-Jordan,37,25,25
undirected_weighted_graph,Gauss-Seidel,37,0,0
undirected_weighted_graph,ILU only,37,30,0
undirected_weighted_graph,ILU-BiCGSTAB,37,30,16
undirected_weighted_graph,ILU-GMRES(30),37,30,13
undirected_weighted_graph,ILU-Krylov (dispatched),37,30,16
undirected_weighted_graph,Jacobi,37,0,0
undirected_weighted_graph,LU,37,25,25
undirected_weighted_graph,SOR,37,0,0
undirected_weighted_graph,splu (SuperLU),37,33,33
undirected_weighted_graph,spsolve (SuperLU),37,33,33
